,Channel_name,Subscribers,Views,Videos,playlist_id
0,Tina Huang,378000,14799485,106,UU2UXDak6o7rBm23k3Vv5dww
1,codebasics,634000,41510313,534,UUh9nVJoWXmFb7sLApWGcLPQ
2,techTFQ,97800,4551591,66,UUnz-ZXXER4jOvuED5trXfEA
3,Krish Naik,619000,58608681,1452,UUNU_lfiiWBdtULKOw6X0Dig
4,Alex The Analyst,260000,10358759,157,UU7cs8q-gJRlGwj4A8OmCmXg
